X,Y,yr,doy,top,bed,thk
-859827.6723523794,-827306.9567922394,2014,84,696.6779,297.0279,399.65
-859835.4555960633,-827319.3587015665,2014,84,696.0651,297.1151,398.96
-859843.2322211671,-827331.6098556721,2014,84,695.3962,297.1662,398.23
-859851.2161636257,-827344.118404479,2014,84,696.103,297.843,398.26
-859859.0504254275,-827356.3096374667,2014,84,695.4503,297.2203,398.23
-859867.0421324451,-827368.6524750323,2014,84,694.8616,297.2916,397.57
-859875.1269718056,-827381.0561347178,2014,84,695.5274,299.4174,396.11
-859883.140891179,-827393.2182484607,2014,84,696.1816,300.0416,396.14
-859891.2335053748,-827405.4561900076,2014,84,696.8501,300.0101,396.84
-859899.3195163219,-827417.5433658502,2014,84,697.5178,300.6778,396.84
-859907.6128440644,-827429.8879392244,2014,84,698.2129,300.6729,397.54
-859915.7565105808,-827441.9151819996,2014,84,698.9022,299.9422,398.96
-859924.0576261355,-827454.0940284737,2014,84,699.6141,299.9641,399.65
-859932.4164558103,-827466.2128897867,2014,84,700.3422,300.6922,399.65
-859940.6610583275,-827478.1352170346,2014,84,701.0795,301.4295,399.65
-859949.0775542343,-827490.1941382788,2014,84,701.8463,302.1963,399.65
-859957.4874623192,-827502.1022828036,2014,84,701.3872,302.4372,398.95
-859966.0548229094,-827514.1620297149,2014,84,700.9231,302.6931,398.23
-859974.5368496954,-827525.9952181783,2014,84,703.0375,303.3875,399.65
-859983.0621602059,-827537.7834217994,2014,84,705.1414,303.3714,401.77
-859991.7449256356,-827549.7232265676,2014,84,706.0468,302.8768,403.17
-860000.3423645778,-827561.4364671235,2014,84,705.7348,301.8448,403.88
-860009.0618419711,-827573.1804985858,2014,84,704.1762,301.0162,403.17
-860017.8889151701,-827584.9703302573,2014,84,703.9527,301.4827,402.47
-860026.6805306366,-827596.639391761,2014,84,704.9827,301.8127,403.17
-860035.5298842889,-827608.2484507605,2014,84,706.0482,300.7682,405.28
-860044.5511426424,-827619.994097538,2014,84,707.1629,299.7629,407.4
-860053.4726444292,-827631.5281790221,2014,84,707.0524,299.6624,407.39
-860062.4374453737,-827643.0172642586,2014,84,705.7183,299.7383,405.98
-860071.5885994607,-827654.6279241554,2014,84,705.6943,300.4243,405.28
-860080.7187523501,-827666.1027938754,2014,84,706.9411,300.9711,405.97
-860089.8134610658,-827677.456882473,2014,84,708.221,300.831,407.39
-860099.0157786658,-827688.8567617382,2014,84,709.5313,301.4413,408.1
-860108.2614038024,-827700.2116382193,2014,84,710.8699,302.0799,408.79
-860117.6146402137,-827711.6123036548,2014,84,711.0117,302.2017,408.81
-860126.932439001,-827722.8921825463,2014,84,709.8908,303.2108,406.68
-860136.2935502698,-827734.1270546019,2014,84,710.061,301.981,408.08
-860145.6979757855,-827745.3169183536,2014,84,711.4894,299.8494,411.64
-860155.1168231539,-827756.4917974006,2014,84,712.9329,302.7429,410.19
-860164.5789875003,-827767.621665841,2014,84,713.1487,303.6587,409.49
-860174.0700231107,-827778.7215350611,2014,84,712.1046,301.1746,410.93
-860183.5256311148,-827789.7006089161,2014,84,711.079,301.589,409.49
-860193.0744129964,-827800.7404764371,2014,84,710.0498,302.6498,407.4
-860202.6520696149,-827811.7503417484,2014,84,710.2959,302.9159,407.38
-860212.3373496152,-827822.8059862622,2014,84,711.7857,301.5657,410.22
-860221.9727591047,-827833.7558442364,2014,84,713.2784,300.2484,413.03
-860231.7157941604,-827844.7514795872,2014,84,714.7736,301.0436,413.73
-860241.3945123118,-827855.6563402232,2014,84,716.2708,303.2408,413.03
-860251.1808578261,-827866.6069767246,2014,84,717.7698,304.7598,413.01
-860260.8385900422,-827877.3760397122,2014,84,719.2504,304.1104,415.14
-860270.6039518962,-827888.1908765294,2014,84,720.7525,307.0125,413.74
-860280.4480452491,-827899.0815158593,2014,84,721.0067,313.6267,407.38
-860290.3354721464,-827909.9271301299,2014,84,720.0031,316.8331,403.16
-860300.2373344076,-827920.757747934,2014,84,720.2624,315.0024,405.27
-860310.0748856044,-827931.4975854747,2014,84,721.7748,310.1548,411.62
-860320.0200706503,-827942.2831932945,2014,84,723.2907,307.4607,415.83
-860329.9796931338,-827953.0538027441,2014,84,723.5705,308.4405,415.14
-860339.8107105464,-827963.64283055,2014,84,722.5745,309.5545,413.02
